question,answer
"What are your business hours?","We are open from 9 AM to 5 PM, Monday to Friday."
"Do you open on weekends or holidays?","We are closed on weekends and major holidays, but you can still shop online anytime."
"How can I reset my password?","You can reset your password by clicking on 'Forgot Password' on the login page."
"I didn’t receive my password reset email, what should I do?","Please check your spam folder. If you still can’t find it, contact support at support@example.com."
"What is your return policy?","Our return policy allows returns within 30 days of purchase."
"How do I start a return?","You can initiate a return from your account dashboard or by contacting customer support."
"How do I contact customer support?","You can contact support at support@example.com or call 0123456789."
"Do you have live chat support?","Yes, live chat is available during our business hours on the website."
"Where can I find product information?","Product information is available on the product page of our website."
"Do you offer international shipping?","Yes, we offer international shipping to select countries."
"How much does international shipping cost?","Shipping costs vary by destination and will be calculated at checkout."
"How can I track my order?","You can track your order with the link in your confirmation email."
"My tracking link isn’t working, what should I do?","It may take up to 24 hours for tracking updates to appear. If it still doesn’t work, please contact support."
"What payment methods do you accept?","We accept Visa, MasterCard, American Express, and PayPal."
"Can I pay with cash on delivery?","Currently, we do not offer cash on delivery."
"Can I change my order after placing it?","Yes, contact support before your order ships to make changes."
"Can I cancel my order?","Orders can be canceled within 2 hours of purchase. Contact support as soon as possible."
"How do I unsubscribe from the newsletter?","Click the unsubscribe link at the bottom of any newsletter email."
"How do I create an account?","Click 'Sign Up' at the top of our website and follow the instructions."
"Do I need an account to place an order?","No, you can check out as a guest, but creating an account lets you track orders easily."
"Is my payment information secure?","Yes, all transactions are encrypted and processed securely."
"Do you have a loyalty or rewards program?","Yes, our rewards program lets you earn points for every purchase. Points can be redeemed for discounts."
"Do you offer discounts for first-time customers?","Yes, new customers can get a 10% discount by signing up for our newsletter."
"Do you sell gift cards?","Yes, digital gift cards are available on our website."
"How do I redeem a discount code?","You can enter your discount code during checkout before payment."
"What should I do if I received a damaged item?","Please contact support immediately with your order number and a photo of the damaged item."
"How long does shipping take?","Standard shipping takes 3-5 business days, while express shipping takes 1-2 business days."
"Do you provide same-day delivery?","Currently, we do not offer same-day delivery."
"Can I change my shipping address after ordering?","Yes, as long as your order has not shipped. Contact support to update your address."
"Do you have a mobile app?","Yes, our mobile app is available on both iOS and Android for easy shopping."
"Hello","Hello! 👋 I hope you're having a wonderful day. How can I assist you today?"
"Hi","Hi there! 😊 How can I help you with your query today?"
"Hey","Hey! Glad to see you here. How may I assist you?"
"Good morning","Good morning! 🌞 I hope your day is off to a great start. How can I help you today?"
"Good afternoon","Good afternoon! 🌼 How may I assist you today?"
"Good evening","Good evening! 🌙 I hope you had a good day. What can I do for you?"
"Good night","Good night! 🌌 Wishing you a restful evening. Feel free to reach out anytime."
"Bye","Thank you for reaching out. Have a great day ahead!"
"Goodbye","It was a pleasure assisting you. Wishing you a wonderful day!"
"See you","Take care! 👋 Come back anytime you need help."
"Talk to you later","Sure! Have a great rest of your day."
"Thanks","You're very welcome! Always happy to help."
"Thank you","My pleasure! Let me know if you need anything else."
